Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
A,09.03.2024,10.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0293574355022/qiq,2750000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  
X,03.03.2024,06.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0293261:170qspebn.czu.22.w.dcvefkpwjdjdi/qiq,2500000,481!16,čftlê!CveĜkpwjdf,1+1,|  zateplen  |  balk  
X,12.02.2024,26.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02922:45::0qspefk.czu.22.46.n3.vm.qflbsfotlb.dftlf.cvefkpwjdf/qiq,2850000,481!15,čftlê!CveĜkpwjdf,1+1,|  po rekonstrukci  
X,08.02.2024,18.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02921236140qspefk.czu.22.5:/qiq,3249000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  |  zateplen  |  balk  
X,07.02.2024,29.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0291:647590qspefk.czuv.22.43.n.evcfotlb.vm.dc/qiq,2390000,481!12,čftlê!CveĜkpwjdf,1+1,|  osobní  |  družstevní  |  zateplen  |  MHD  |  plastová okna  
A,03.02.2024,10.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0291865:630qspefk.czuv.3ll.{bisbeb.ibwmjoeb.dftlf.cvefkpwjdf/qiq,3250000,481!12,čftlê!CveĜkpwjdf,1+1,|  OV  |  družstevní  |  po rekonstrukci  |  MHD  |  balk  |  plastová okna  
X,25.01.2024,23.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02914464240qspefk.czu.22.42/qiq,2450000,481!16,čftlê!CveĜkpwjdf,1+1,|  OV  
X,24.01.2024,12.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028:9888620qspefk.czu.22.4:n3.dftlf.cvefkpwjdf.3.csbojtpwtlb/qiq,2790000,481!12,čftlê!CveĜkpwjdf,1+1,|  osobní  |  zateplen  |  MHD  |  balk  |  plastová okna  
X,22.01.2024,07.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02913212::0qspefk.czu.22.4:n3.dftlf.cvefkpwjdf.3.wfusob/qiq,2690000,481!12,čftlê!CveĜkpwjdf,1+1,|  OV  |  zateplen  |  MHD  |  balk  
X,21.01.2024,14.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029125:9860qspefk.czuv.w.pt.wmbtuojduwj/qiq,2450000,481!16,čftlê!CveĜkpwjdf,1+1,|  osobní  |  zateplen  
X,18.01.2024,13.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028:::65170qspefk.czu.22.4:.n3.vm.csbojtpwtlb.dftlf.cvefkpwjdf/qiq,2790000,481!12,čftlê!CveĜkpwjdf,1+1,""
X,12.01.2024,22.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028:7:98860qspefk.czu.22.49/qiq,2890000,481!15,čftlê!CveĜkpwjdf,1+1,|  OV  |  plastová okna  
X,08.01.2024,27.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028:6263970qspefk.czuv.22.54n3.pw.qbofm.v.pd.hfdlp/qiq,2990000,481!12,čftlê!CveĜkpwjdf,1+1,|  osobní  |  OV  |  po rekonstrukci  |  zateplen  |  balk  |  plastová okna  
X,29.12.2023,27.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028:1::6160qspebn.czu.22/qiq,2600000,481!12,čftlê!CveĜkpwjdf,1+1,""
X,22.12.2023,01.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028995:9720qspefk.czuv.22.55.n.dftlf.cvefkpwjdf.vm.gs.isvcjob/qiq,4350000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  |  zateplen  |  plastová okna  
X,22.12.2023,01.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028995:9720qspefk.czuv.22.55.n.dftlf.cvefkpwjdf.vm.gs.isvcjob/qiq,4350000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  |  zateplen  |  plastová okna  
X,18.12.2023,26.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0289797:190qspefk.czuv.22.47.n.nbmb.tusbob.uzo.obe.wmubwpv/qiq,1790000,486!12,čftlê!CveĜkpwjdf,1+1,|  družstevní  |  zateplen  |  plastová okna  
X,18.12.2023,08.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02897:39180l.qspefkj.czu.22.t.mpe{jj.b.tlmfqfn.qsvcf{ob.vmjdf.dftlf.cvefkpwjdf/qiq,2890000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  |  zateplen  |  MHD  |  plastová okna  
X,18.12.2023,26.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02897:6:550l.qspefkj.czu.22.t.mpe{jj.b.tlmfqfn.qsvcf{ob.vmjdf.dftlf.cvefkpwjdf/qiq,2890000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  |  zateplen  |  MHD  |  plastová okna  
X,18.12.2023,08.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02897:39180l.qspefkj.czu.22.t.mpe{jj.b.tlmfqfn.qsvcf{ob.vmjdf.dftlf.cvefkpwjdf/qiq,2890000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  |  zateplen  |  MHD  |  plastová okna  
X,18.12.2023,26.01.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0289797:190qspefk.czuv.22.47.n.nbmb.tusbob.uzo.obe.wmubwpv/qiq,1790000,486!12,čftlê!CveĜkpwjdf,1+1,|  družstevní  |  zateplen  |  plastová okna  
